hotel_id,name,address,city,state_province,postal_code,latitude,longitude,star_rating,high_rate,low_rate
606307,Renovated 2 BR Central Park,769-779 9th Avenue,New York,NY,10036,40.76472,-73.98806,3.5,230.41,229.41
206503,Beekman Tower by Bridgestreet,3 Mitchell Place,New York,NY,10017,40.75329,-73.96608,3.5,254.16,206.14
616259,Hello Apartments NYC,38 West 31st Street,New York,NY,10001,40.74716,-73.9878,3.5,261.0412,260.0412
639317,DoubleTree by Hilton New York Times Square West,350 W 40th St,New York,NY,10018,40.75682,-73.99298,4,269.47,199.47
622053,Hotel 50 Bowery NYC,"50 Bowery, East Village",New York,NY,10013,40.71584,-73.99641,4,340.0544,339.0544
223460,AKA Central Park,42 West 58th Street,New York,NY,10019,40.76451,-73.97555,4,744.38,325.38
636273,Hotel Richland New York,5 Allen Street,New York,NY,10002,40.71473,-73.9931,2.5,229,209
202295,Oakwood at The Nash,222 East 39th Street,New York,NY,10016,40.74837,-73.97466,4,452,388.739
598637,AKA Wall Street,84 William Street,New York,NY,10038,40.70801,-74.00778,4,869.44,395.44
615827,Beautiful Studio near Central Park,943 Columbus Avenue,New York,NY,10025,40.79935,-73.96245,3.5,181.15,180.15
642699,Four Points By Sheraton Manhattan Midtown West,446 10th Ave,New York,NY,10001,40.75506,-73.99868,3,220.0373,162.0258
647656,Gansevoort Meatpacking,18 9th Avenue at 13th street,New York,NY,10018,40.73989,-74.00579,4.5,545.45,285.45
653548,Crowne Plaza Midtown Manhattan,320 W 36th St,New York,NY,10018,40.75374,-73.99374,2.5,269.13,243.13
140910,Carnegie Hotel,160 W 56th St New York,New York,NY,10019,40.76674,-73.98084,4,490,249
192381,Broadway Hotel and Hostel,230 W 101st St,New York,NY,10025,40.79801,-73.96987,2,168.34,95.34
653543,The Watson Hotel,440 West 57th Street,New York,NY,10019,40.76823,-73.98745,3.5,249.32,229.32
658840,Astor on the Park,465 Central Park West,New York,NY,10025,40.79974,-73.95889,3,209.33,149.33
659207,Hotel Hayden,127 West 28th Street,New York,NY,10001,40.7466,-73.99179,4,250.48,249.48
663607,Embassy Suites by Hilton New York Midtown Manhattan,60 West 37th Street,New York,NY,10018,40.75142,-73.98575,3.5,649.42,521.42
675077,Saint Nicholas Inn,154th Street,New York,NY,10032,40.83071,-73.94302,2.5,150.7901,112.8715
679739,Hilton Garden Inn New York Times Square South,326 W 37th St,New York,NY,10018,40.75447,-73.99357,3,0,0
